"S_No","Average download speed (Mbit/s)","Postcode","Short Postcode","Town/City","District","County"
123,22,"CT12 6BX","CT12 ","RAMSGATE","THANET","KENT"
124,22,"CT12 6BX","CT12 ","RAMSGATE","THANET","KENT"
125,22,"CT12 6BX","CT12 ","RAMSGATE","THANET","KENT"
126,27.9,"CT13 0DP","CT13 ","SANDWICH","DOVER","KENT"
127,27.9,"CT13 0DP","CT13 ","SANDWICH","DOVER","KENT"
128,19.8,"CT13 0EZ","CT13 ","SANDWICH","DOVER","KENT"
129,28.1,"CT13 0HE","CT13 ","SANDWICH","DOVER","KENT"
130,28.1,"CT13 0HE","CT13 ","SANDWICH","DOVER","KENT"
131,28.1,"CT13 0HE","CT13 ","SANDWICH","DOVER","KENT"
132,1.3,"CT13 0LF","CT13 ","SANDWICH","DOVER","KENT"
133,22.8,"CT13 0LQ","CT13 ","SANDWICH","DOVER","KENT"
134,22.8,"CT13 0LQ","CT13 ","SANDWICH","DOVER","KENT"
135,22.8,"CT13 0LQ","CT13 ","SANDWICH","DOVER","KENT"
136,18.6,"CT13 0NH","CT13 ","SANDWICH","DOVER","KENT"
137,18.6,"CT13 0NH","CT13 ","SANDWICH","DOVER","KENT"
138,18.6,"CT13 0NH","CT13 ","SANDWICH","DOVER","KENT"
139,18.6,"CT13 0NH","CT13 ","SANDWICH","DOVER","KENT"
140,18.6,"CT13 0NH","CT13 ","SANDWICH","DOVER","KENT"
141,18.6,"CT13 0NH","CT13 ","SANDWICH","DOVER","KENT"
142,2.7,"CT13 9PN","CT13 ","SANDWICH","DOVER","KENT"
143,2.7,"CT13 9PN","CT13 ","SANDWICH","DOVER","KENT"
144,2.7,"CT13 9PN","CT13 ","SANDWICH","DOVER","KENT"
145,2.1,"CT13 9PX","CT13 ","SANDWICH","DOVER","KENT"
146,10.6,"CT14 0AT","CT14 ","DEAL","DOVER","KENT"
147,32.4,"CT14 0BG","CT14 ","DEAL","DOVER","KENT"
148,15.6,"CT14 0DG","CT14 ","DEAL","DOVER","KENT"
149,15.6,"CT14 0DG","CT14 ","DEAL","DOVER","KENT"
150,10,"CT14 0DN","CT14 ","DEAL","DOVER","KENT"
151,27,"CT14 0DW","CT14 ","DEAL","DOVER","KENT"
152,12.2,"CT14 0EF","CT14 ","DEAL","DOVER","KENT"
153,12.2,"CT14 0EF","CT14 ","DEAL","DOVER","KENT"
154,9.1,"CT14 0HF","CT14 ","DEAL","DOVER","KENT"
155,9.1,"CT14 0HF","CT14 ","DEAL","DOVER","KENT"
156,9.1,"CT14 0HF","CT14 ","DEAL","DOVER","KENT"
157,55,"CT14 0JL","CT14 ","DEAL","DOVER","KENT"
158,55,"CT14 0JL","CT14 ","DEAL","DOVER","KENT"
159,55,"CT14 0JL","CT14 ","DEAL","DOVER","KENT"
160,55,"CT14 0JL","CT14 ","DEAL","DOVER","KENT"
161,7,"CT14 0LB","CT14 ","DEAL","DOVER","KENT"
162,34.2,"CT14 0ND","CT14 ","DEAL","DOVER","KENT"
163,25.4,"CT14 0NF","CT14 ","DEAL","DOVER","KENT"
164,25.4,"CT14 0NF","CT14 ","DEAL","DOVER","KENT"
165,34.7,"CT14 0NG","CT14 ","DEAL","DOVER","KENT"
166,17.7,"CT14 7BL","CT14 ","DEAL","DOVER","KENT"
167,38.4,"CT14 7DL","CT14 ","DEAL","DOVER","KENT"
168,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
169,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
170,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
171,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
172,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
173,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
174,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
175,41.2,"CT14 7DN","CT14 ","DEAL","DOVER","KENT"
