"S_No","LSOA Code","Postcode","Short Postcode","Town/City","District","County"
6224,NA,"TN14 5FT","TN14","SEVENOAKS","SEVENOAKS","KENT"
6225,NA,"CT15 6AX","CT15","DOVER","DOVER","KENT"
6226,NA,"ME17 1XH","ME17","MAIDSTONE","MAIDSTONE","KENT"
6227,NA,"ME13 9EG","ME13","FAVERSHAM","SWALE","KENT"
6228,NA,"ME1 3GL","ME1 3","ROCHESTER","TONBRIDGE AND MALLING","KENT"
6229,NA,"TN12 6FT","TN12","TONBRIDGE","TUNBRIDGE WELLS","KENT"
6230,NA,"KT10 0AW","KT10","ESHER","ELMBRIDGE","SURREY"
6231,NA,"KT20 6QZ","KT20","TADWORTH","REIGATE AND BANSTEAD","SURREY"
6232,NA,"ME18 5FA","ME18","MAIDSTONE","TONBRIDGE AND MALLING","KENT"
6233,NA,"TN14 5GZ","TN14","SEVENOAKS","SEVENOAKS","KENT"
6234,NA,"CT13 0FR","CT13","SANDWICH","DOVER","KENT"
6235,NA,"GU22 9LP","GU22","WOKING","WOKING","SURREY"
6236,NA,"TW19 7NB","TW19","STAINES-UPON-THAMES","SPELTHORNE","SURREY"
6237,NA,"KT14 7BT","KT14","WEST BYFLEET","WOKING","SURREY"
6238,NA,"KT17 1SN","KT17","EPSOM","EPSOM AND EWELL","SURREY"
6239,NA,"ME18 5FA","ME18","MAIDSTONE","TONBRIDGE AND MALLING","KENT"
6240,NA,"CT20 3DY","CT20","FOLKESTONE","FOLKESTONE AND HYTHE","KENT"
6241,NA,"TN25 7FZ","TN25","ASHFORD","ASHFORD","KENT"
6242,NA,"KT12 4BU","KT12","WALTON-ON-THAMES","ELMBRIDGE","SURREY"
6243,NA,"GU24 9DA","GU24","WOKING","SURREY HEATH","SURREY"
6244,NA,"TN29 9FB","TN29","ROMNEY MARSH","FOLKESTONE AND HYTHE","KENT"
6245,NA,"ME19 5FA","ME19","WEST MALLING","TONBRIDGE AND MALLING","KENT"
6246,NA,"ME19 4RN","ME19","WEST MALLING","TONBRIDGE AND MALLING","KENT"
6247,NA,"TN25 7HR","TN25","ASHFORD","ASHFORD","KENT"
6248,NA,"ME19 5GJ","ME19","WEST MALLING","TONBRIDGE AND MALLING","KENT"
6249,NA,"TN28 8FR","TN28","NEW ROMNEY","FOLKESTONE AND HYTHE","KENT"
6250,NA,"TN18 4QG","TN18","CRANBROOK","TUNBRIDGE WELLS","KENT"
6251,NA,"CT18 7AG","CT18","FOLKESTONE","FOLKESTONE AND HYTHE","KENT"
6252,NA,"GU22 9LL","GU22","WOKING","WOKING","SURREY"
6253,NA,"CT16 3PA","CT16","DOVER","DOVER","KENT"
6254,NA,"KT20 6HF","KT20","TADWORTH","REIGATE AND BANSTEAD","SURREY"
6255,NA,"KT12 5NR","KT12","WALTON-ON-THAMES","ELMBRIDGE","SURREY"
