"S_No","Short Postcode","Population","LSOA Code","Postcode","Town/City","District","County"
91,"CT2 0",5883,"E01024111","CT2 0ER","CANTERBURY","CANTERBURY","KENT"
92,"CT2 0",5883,"E01024087","CT2 0HA","CANTERBURY","CANTERBURY","KENT"
93,"CT2 0",5883,"E01024087","CT2 0HA","CANTERBURY","CANTERBURY","KENT"
94,"CT2 0",5883,"E01024111","CT2 0NW","CANTERBURY","CANTERBURY","KENT"
95,"CT2 0",5883,"E01024111","CT2 0NW","CANTERBURY","CANTERBURY","KENT"
96,"CT2 0",5883,"E01024111","CT2 0NW","CANTERBURY","CANTERBURY","KENT"
97,"CT2 0",5883,"E01024111","CT2 0PD","CANTERBURY","CANTERBURY","KENT"
98,"CT2 0",5883,"E01024110","CT2 0QS","CANTERBURY","CANTERBURY","KENT"
99,"CT2 8",7567,"E01024068","CT2 8NP","CANTERBURY","CANTERBURY","KENT"
100,"CT2 8",7567,"E01024068","CT2 8NP","CANTERBURY","CANTERBURY","KENT"
101,"CT2 8",7567,"E01024068","CT2 8NP","CANTERBURY","CANTERBURY","KENT"
102,"CT2 8",7567,"E01024068","CT2 8NP","CANTERBURY","CANTERBURY","KENT"
103,"CT2 8",7567,"E01024068","CT2 8NP","CANTERBURY","CANTERBURY","KENT"
104,"CT2 8",7567,"E01024068","CT2 8NP","CANTERBURY","CANTERBURY","KENT"
105,"CT2 8",7567,"E01024068","CT2 8NP","CANTERBURY","CANTERBURY","KENT"
106,"CT2 9",3758,"E01024068","CT2 9AE","CANTERBURY","CANTERBURY","KENT"
107,"CT2 9",3758,"E01024067","CT2 9AR","CANTERBURY","CANTERBURY","KENT"
108,"CT2 9",3758,"E01024067","CT2 9AR","CANTERBURY","CANTERBURY","KENT"
109,"CT2 9",3758,"E01024067","CT2 9AS","CANTERBURY","CANTERBURY","KENT"
110,"CT2 9",3758,"E01032809","CT2 9EE","CANTERBURY","CANTERBURY","KENT"
111,"CT2 9",3758,"E01032809","CT2 9JA","CANTERBURY","CANTERBURY","KENT"
112,"CT2 9",3758,"E01032809","CT2 9JA","CANTERBURY","CANTERBURY","KENT"
113,"CT2 9",3758,"E01024558","CT2 9JX","CANTERBURY","SWALE","KENT"
114,"CT2 9",3758,"E01024558","CT2 9LA","CANTERBURY","SWALE","KENT"
115,"CT3 1",5858,"E01024209","CT3 1AA","CANTERBURY","DOVER","KENT"
116,"CT3 1",5858,"E01024209","CT3 1AA","CANTERBURY","DOVER","KENT"
117,"CT3 1",5858,"E01024209","CT3 1AE","CANTERBURY","DOVER","KENT"
118,"CT3 1",5858,"E01024209","CT3 1AE","CANTERBURY","DOVER","KENT"
119,"CT3 1",5858,"E01024209","CT3 1AE","CANTERBURY","DOVER","KENT"
120,"CT3 1",5858,"E01024209","CT3 1AE","CANTERBURY","DOVER","KENT"
121,"CT3 1",5858,"E01024209","CT3 1AE","CANTERBURY","DOVER","KENT"
122,"CT3 1",5858,"E01024209","CT3 1AE","CANTERBURY","DOVER","KENT"
123,"CT3 1",5858,"E01024209","CT3 1AN","CANTERBURY","DOVER","KENT"
124,"CT3 1",5858,"E01024209","CT3 1AQ","CANTERBURY","DOVER","KENT"
125,"CT3 1",5858,"E01024209","CT3 1AQ","CANTERBURY","DOVER","KENT"
126,"CT3 1",5858,"E01024209","CT3 1AQ","CANTERBURY","DOVER","KENT"
127,"CT3 1",5858,"E01024209","CT3 1AQ","CANTERBURY","DOVER","KENT"
128,"CT3 1",5858,"E01024209","CT3 1AU","CANTERBURY","DOVER","KENT"
129,"CT3 1",5858,"E01024209","CT3 1AU","CANTERBURY","DOVER","KENT"
130,"CT3 1",5858,"E01024209","CT3 1AU","CANTERBURY","DOVER","KENT"
131,"CT3 1",5858,"E01024209","CT3 1AU","CANTERBURY","DOVER","KENT"
132,"CT3 1",5858,"E01024209","CT3 1BU","CANTERBURY","DOVER","KENT"
133,"CT3 1",5858,"E01024209","CT3 1DD","CANTERBURY","DOVER","KENT"
134,"CT3 1",5858,"E01024209","CT3 1DD","CANTERBURY","DOVER","KENT"
135,"CT3 1",5858,"E01024206","CT3 1DN","CANTERBURY","DOVER","KENT"
136,"CT3 1",5858,"E01024206","CT3 1DN","CANTERBURY","DOVER","KENT"
137,"CT3 1",5858,"E01024206","CT3 1DN","CANTERBURY","DOVER","KENT"
138,"CT3 1",5858,"E01024206","CT3 1DN","CANTERBURY","DOVER","KENT"
139,"CT3 1",5858,"E01024206","CT3 1DR","CANTERBURY","DOVER","KENT"
140,"CT3 1",5858,"E01024206","CT3 1DS","CANTERBURY","DOVER","KENT"
141,"CT3 1",5858,"E01024206","CT3 1DS","CANTERBURY","DOVER","KENT"
142,"CT3 1",5858,"E01024206","CT3 1DS","CANTERBURY","DOVER","KENT"
143,"CT3 1",5858,"E01024206","CT3 1DS","CANTERBURY","DOVER","KENT"
144,"CT3 1",5858,"E01024206","CT3 1DS","CANTERBURY","DOVER","KENT"
145,"CT3 1",5858,"E01024206","CT3 1DT","CANTERBURY","DOVER","KENT"
146,"CT3 1",5858,"E01024206","CT3 1DZ","CANTERBURY","DOVER","KENT"
147,"CT3 1",5858,"E01024206","CT3 1DZ","CANTERBURY","DOVER","KENT"
148,"CT3 1",5858,"E01024209","CT3 1EP","CANTERBURY","DOVER","KENT"
149,"CT3 1",5858,"E01024209","CT3 1EP","CANTERBURY","DOVER","KENT"
150,"CT3 1",5858,"E01024209","CT3 1EW","CANTERBURY","DOVER","KENT"
151,"CT3 1",5858,"E01024209","CT3 1EW","CANTERBURY","DOVER","KENT"
152,"CT3 1",5858,"E01024209","CT3 1EW","CANTERBURY","DOVER","KENT"
153,"CT3 1",5858,"E01024209","CT3 1EW","CANTERBURY","DOVER","KENT"
154,"CT3 1",5858,"E01024209","CT3 1EW","CANTERBURY","DOVER","KENT"
155,"CT3 1",5858,"E01024209","CT3 1EW","CANTERBURY","DOVER","KENT"
156,"CT3 1",5858,"E01024209","CT3 1EW","CANTERBURY","DOVER","KENT"
157,"CT3 1",5858,"E01024206","CT3 1EX","CANTERBURY","DOVER","KENT"
158,"CT3 1",5858,"E01024206","CT3 1HL","CANTERBURY","DOVER","KENT"
159,"CT3 1",5858,"E01024206","CT3 1HP","CANTERBURY","DOVER","KENT"
160,"CT3 1",5858,"E01024206","CT3 1JA","CANTERBURY","DOVER","KENT"
161,"CT3 1",5858,"E01024206","CT3 1JA","CANTERBURY","DOVER","KENT"
162,"CT3 1",5858,"E01024207","CT3 1JX","CANTERBURY","DOVER","KENT"
163,"CT3 1",5858,"E01024207","CT3 1JX","CANTERBURY","DOVER","KENT"
164,"CT3 1",5858,"E01024207","CT3 1LG","CANTERBURY","DOVER","KENT"
165,"CT3 1",5858,"E01024207","CT3 1LG","CANTERBURY","DOVER","KENT"
166,"CT3 1",5858,"E01024207","CT3 1LH","CANTERBURY","DOVER","KENT"
167,"CT3 1",5858,"E01024207","CT3 1LH","CANTERBURY","DOVER","KENT"
